id,question,reference_answer,generated_answer,retrieved_contexts,question_type,faithfulness,answer_relevance,context_relevance,question_subtype,source_category_labels
arxiv_sh_000,How much do the computed lifetimes change due to core polarization effects?,Core polarization affects the computed lifetimes by up to 20%.,The computed lifetimes are affected by core polarization by up to 20%.,"['Atomic data from the Iron Project. LXIV. Radiative transition rates and collision strengths for Ca II This work reports radiative transition rates and electron impact excitation rate coefficients for levels of the n= 3, 4, 5, 6, 7, 8 configurations of Ca II. The radiative data were computed using the Thomas-Fermi-Dirac central potential method in the frozen core approximation and includes the polarization interaction between the valence electron and the core using a model potential. This method allows for configuration interactions (CI) and relativistic effects in the Breit-Pauli formalism. Collision strengths in LS-coupling were calculated in the close coupling approximation with the R-matrix method. Then, fine structure collision strengths were obtained by means of the intermediate-coupling frame transformation (ICFT) method which accounts for spin-orbit coupling effects. We present extensive comparisons with the most recent calculations and measurements for Ca II as well as a comparison between the core polarization results and the ""unpolarized"" values. We find that core polarization affects the computed lifetimes by up to 20%. Our results are in very close agreement with recent measurements for the lifetimes of metastable levels. The present collision strengths were integrated over a Maxwellian distribution of electron energies and the resulting effective collision strengths are given for a wide range of temperatures. Our effective collision strengths for the resonance transitions are within ~11% from previous values derived from experimental measurements, but disagree with latter computations using the distorted wave approximation.', 'Polarization from the Structured Envelopes of Cool Evolved Stars We present preliminary calculations of electron scattering polarizations from models of structured cool star envelopes. We note that net polarizations from unresolved sources can result from non-spherical scattering envelopes and/or anisotropic illumination from a photosphere that has brightness variations. The resultant polarizations are quite small (hundreths of a percent); however, Rayleigh scattering from molecular opacity and/or dust scattering from the more extended envelope under similar considerations may produce higher polarizations.', ""Estimating the birth period of pulsars through GLAST/LAT observations of their wind nebulae In this paper we show that the high energy $\\gamma$-ray flux in the GeV domain from mature pulsar wind nebulae (PWN) scales as the change in rotational kinetic energy $I(\\Omega_0^2-\\Omega^2)/2$ since birth, rather than the present day spindown power $I\\Omega\\dot{\\Omega}$. This finding holds as long as the lifetime of inverse Compton emitting electrons exceeds the age of the system. For a typical $\\gamma^{-2}$ electron spectrum, the predicted flux depends mostly on the pulsar birth period, conversion efficiency of spindown power to relativistic electrons and distance to the PWN, so that first order estimates of the birth period can be assessed from {\\it GLAST/LAT} observations of PWN. For this purpose we derive an analytical expression. The associated (``uncooled'') photon spectral index in the GeV domain is expected to cluster around $\\sim 1.5$, which is bounded at low energies by an intrinsic spectral break, and at higher energies by a second spectral break where the photon index steepens to $\\sim 2$ due to radiation losses. Mature PWN are expected to have expanded to sizes larger than currently known PWN, resulting in relatively low magnetic energy densities and hence survival of GeV inverse Compton emitting electrons. Whereas such a PWN may be radio and X-ray quiet in synchrotron radiation, it may still be detectable as a {\\it GLAST/LAT} source as a result of the relic electrons in the PWN.""]",descriptive,1.0,0.9414257829064798,1.0,single_specific,
arxiv_sh_001,What methods were used to analyze the nature of galactic bulges in the study discussed in the paper?,"The study utilized integral field spectroscopy from the SAURON collaboration, focusing on 2-dimensional maps of stellar velocity, velocity dispersion, and absorption line strength.","The study utilized deep spectroscopic observations along the minor axis of a sample of 32 bulges from edge-on spiral galaxies. It involved measuring dynamical parameters such as rotation curves and velocity dispersion profiles, as well as line-strength indices, which were converted to the Lick/IDS system. Additionally, integral field spectroscopy was employed to analyze 2-dimensional maps of stellar velocity, velocity dispersion, and absorption line strength for a sample of 24 Sa and Sab galaxies. These methods facilitated a comprehensive understanding of the nature of galactic bulges.","['Stellar Population Gradients in Bulges along the Hubble Sequence: I. The Data This is the first paper presenting our long-term project aimed at studying the nature of bulges through the analysis of their stellar population gradients. We present deep spectroscopic observations along the minor axis and the data reduction for a sample of 32 bulges of edge-on spiral galaxies. We explain in detail our procedures to measure their dynamical parameters (rotation curves and velocity dispersion profiles) and line-strength indices, including the conversion to the Lick/IDS system. Tables giving the values of the dynamical parameters and line-strength indices at each galactocentric radius are presented (in electronic form) for each galaxy of the sample. The derived line-strength gradients from this dataset will be analyzed in a forthcoming paper to set constraints on the different scenarios for the formation of the bulges.', 'On classical and pseudobulges: The nature of bulges of early-type spirals Historically, galactic bulges are thought to be elliptical galaxy-like objects sitting in the middle of a generally larger disk. There are, however, more and more claims that some bulges are much more similar to disks. John Kormendy has named these bulges pseudo-bulges. In this paper I discuss some recent integral field spectroscopy of the SAURON collaboration on a sample of 24 Sa and Sab galaxies. Using their 2-dimensional maps of the stellar velocity, velocity dispersion, and absorption line strength, it is now much easier to understand the nature of nearby galactic bulges. I review several aspects of bulges, namely the surface photometry, stellar kinematics, stellar populations, presence of interstellar matter, and their behavior in the fundamental plane of early-type galaxies.', 'Formation and evolution of bulges After presenting three ways of defining a bulge component in disc galaxies, we introduce the various types of bulges, namely the classical bulges, the boxy/peanut bulges and the disc-like bulges. We then discuss three specific topics linked to bulge formation and evolution, namely the coupled time evolution of the bar, buckling and peanut strengths; the effect of velocity anisotropy on peanut formation; and bulge formation via bar destruction.']",descriptive,1.0,0.9243040881903882,1.0,single_specific,
arxiv_sh_002,What aspect of oblate and prolate Jaffe models is not discussed in this paper?,"The dynamical properties of oblate and prolate Jaffe models are not repeated in this paper, as they have already been studied by Jiang & Moss.","The dynamical properties of oblate and prolate Jaffe models are not discussed in this paper, as they have been previously studied by Jiang & Moss.","['General Flattened Jaffe Models for Galaxies In this paper we extend oblate and prolate Jaffe models into more general flattened Jaffe models. Since dynamical properties of oblate and prolate Jaffe Models have been studied by Jiang & Moss, they are not repeated here.', ""Self-consistent triaxial de Zeeuw-Carollo Models We use the usual method of Schwarzschild to construct self-consistent solutions for the triaxial de Zeeuw & Carollo (1996) models with central density cusps. ZC96 models are triaxial generalisations of spherical $\\gamma$-models of Dehnen whose densities vary as $r^{-\\gamma}$ near the center and $r^{-4}$ at large radii and hence, possess a central density core for $\\gamma=0$ and cusps for $\\gamma > 0$. We consider four triaxial models from ZC96, two prolate triaxials: $(p, q) = (0.65, 0.60)$ with $\\gamma = 1.0$ and 1.5, and two oblate triaxials: $(p, q) = (0.95, 0.60)$ with $\\gamma = 1.0$ and 1.5. We compute 4500 orbits in each model for time periods of $10^{5} T_{D}$. We find that a large fraction of the orbits in each model are stochastic by means of their nonzero Liapunov exponents. The stochastic orbits in each model can sustain regular shapes for $\\sim 10^{3} T_{D}$ or longer, which suggests that they diffuse slowly through their allowed phase-space. Except for the oblate triaxial models with $\\gamma =1.0$, our attempts to construct self-consistent solutions employing only the regular orbits fail for the remaining three models. However, the self-consistent solutions are found to exist for all models when the stochastic and regular orbits are treated in the same way because the mixing-time, $\\sim10^{4} T_{D}$, is shorter than the integration time, $10^{5} T_{D}$. Moreover, the ``fully-mixed'' solutions can also be constructed for all models when the stochastic orbits are fully mixed at 15 lowest energy shells. Thus, we conclude that the self-consistent solutions exist for our selected prolate and oblate triaxial models with $\\gamma = 1.0$ and 1.5."", ""Remodeling the B-model We propose a complete, new formalism to compute unambiguously B-model open and closed amplitudes in local Calabi-Yau geometries, including the mirrors of toric manifolds. The formalism is based on the recursive solution of matrix models recently proposed by Eynard and Orantin. The resulting amplitudes are non-perturbative in both the closed and the open moduli. The formalism can then be used to study stringy phase transitions in the open/closed moduli space. At large radius, this formalism may be seen as a mirror formalism to the topological vertex, but it is also valid in other phases in the moduli space. We develop the formalism in general and provide an extensive number of checks, including a test at the orbifold point of A_p fibrations, where the amplitudes compute the 't Hooft expansion of Wilson loops in lens spaces. We also use our formalism to predict the disk amplitude for the orbifold C^3/Z_3.""]",descriptive,1.0,0.0,0.5,single_specific,
arxiv_sh_003,How does the -phase shift of the pair potential affect the local density of states in the vortex state of a Fulde-Ferrell-Larkin-Ovchinnikov superconductor?,The -phase shift of the pair potential at the FFLO nodal plane or at the vortex core induces sharp peak states in the local density of states and enhances the local paramagnetic moment.,The π-phase shift of the pair potential at the FFLO nodal plane or at the vortex core induces sharp peak states in the local density of states. This enhancement in the local density of states is associated with an increase in the local paramagnetic moment.,"['Vortex state in a Fulde-Ferrell-Larkin-Ovchinnikov superconductor based on the quasiclassical theory We investigate the vortex state with Fulde-Ferrell-Larkin-Ovchinnikov (FFLO) modulations suggested for a high field phase of CeCoIn_5. On the basis of the quasiclassical Eilenberger theory, we calculate the three dimensional structure of pair potentials, internal magnetic fields, paramagnetic moments, and electronic states, for the s-wave and the d-wave pairings comparatively. The \\pi-phase shift of the pair potential at the FFLO nodal plane or at the vortex core induces sharp peak states in the local density of states, and enhances the local paramagnetic moment. We also discuss the NMR spectrum and the neutron scattering as methods to detect the FFLO structure.', 'Fulde-Ferrell-Larkin-Ovchinnikov states in one-dimensional spin-polarized ultracold atomic Fermi gases We present a systematic study of quantum phases in a one-dimensional spin-polarized Fermi gas. Three comparative theoretical methods are used to explore the phase diagram at zero temperature: the mean-field theory with either an order parameter in a single-plane-wave form or a self-consistently determined order parameter using the Bogoliubov-de Gennes equations, as well as the exact soluble Bethe ansatz method. We find that a spatially inhomogeneous Fulde-Ferrell-Larkin-Ovchinnikov phase, which lies between the fully paired BCS state and the fully polarized normal state, dominates most of the phase diagram of a uniform gas. The phase transition from the BCS state to the Fulde-Ferrell-Larkin-Ovchinnikov phase is of second order, and therefore there are no phase separation states in one-dimensional homogeneous polarized gases. This is in sharp contrast to the three-dimensional situation, where a phase separation regime is predicted to occupy a very large space in the phase diagram. We conjecture that the prediction of the dominance of the phase separation phases in three dimension could be an artifact of the non-self-consistent mean-field approximation, which is heavily used in the study of three-dimensional polarized Fermi gases. We consider also the effect of a harmonic trapping potential on the phase diagram, and find that in this case the trap generally leads to phase separation, in accord with the experimental observations for a trapped gas in three dimension. We finally investigate the local fermionic density of states of the Fulde-Ferrell-Larkin-Ovchinnikov ansatz. A two-energy-gap structure is shown up, which could be used as an experimental probe of the Fulde-Ferrell-Larkin-Ovchinnikov states.', 'Local dynamical lattice instabilities: Prerequisites for resonant pairing superconductivity Fluctuating local diamagnetic pairs of electrons, embedded in a Fermi sea, are candidates for non-phonon-mediated superconductors without the stringent conditions on Tc which arise in phonon-mediated BCS classical low-Tc superconductors. The local accumulations of charge, from which such diamagnetic fluctuations originate, are irrevocably coupled to local dynamical lattice instabilities and form composite charge-lattice excitations of the system. For a superconducting phase to be realized, such excitations must be itinerant spatially phase-coherent modes. This can be achieved by resonant pair tunneling in and out of polaronic cation-ligand sites. Materials in which superconductivity driven by such local lattice instability can be expected, have a Tc which is controlled by the phase stiffness rather than the amplitude of the diamagnetic pair fluctuations. Above Tc, a pseudogap phase will be maintained up to a T*, where this pairing amplitude disappears. We discuss the characteristic local charge and lattice properties which characterize this pseudogap phase and which form the prerequisites for establishing a phase-coherent macroscopic superconducting state.']",descriptive,1.0,0.7909551624764553,1.0,single_specific,
arxiv_sh_004,Under what conditions is the base locus of the generalized theta divisor considered large according to the paper?,The base locus of the generalized theta divisor is considered large when the rank of the vector bundles is sufficiently large and also for positive multiples of the theta divisor.,"The base locus of the generalized theta divisor is considered large when the rank of the vector bundles is sufficiently large on the moduli space of semi-stable vector bundles of fixed rank and determinant on a smooth curve of genus at least two. Additionally, it is also large for positive multiples of the theta divisor.","['Some examples of vector bundles in the base locus of the generalized theta divisor This paper shows that on the moduli space of semi-stable vector bundles of fixed rank and determinant (of any degree) on a smooth curve of genus at least two, the base locus of the generalized theta divisor is large provided the rank is sufficiently large. It also shows that the base locus is large for positive multiples of the theta divisor. This work extends results already known for the case where the determinant is of degree zero.', ""Noether-Lefschetz theorem with base locus We compute the class groups of very general normal surfaces in complex projective three-space containing an arbitrary base locus $Z$, thereby extending the classic Noether-Lefschetz theorem (the case when $Z$ is empty). Our method is an adaptation of Griffiths and Harris' degeneration proof, simplified by a cohomology and base change argument. We give applications to computing Picard groups, which generalize several known results."", 'Block Toeplitz determinants, constrained KP and Gelfand-Dickey hierarchies We propose a method for computing any Gelfand-Dickey tau function living in Segal-Wilson Grassmannian as the asymptotics of block Toeplitz determinant associated to a certain class of symbols. Also truncated block Toeplitz determinants associated to the same symbols are shown to be tau function for rational reductions of KP. Connection with Riemann-Hilbert problems is investigated both from the point of view of integrable systems and block Toeplitz operator theory. Examples of applications to algebro-geometric solutions are given.']",descriptive,1.0,0.9363117237737731,1.0,single_specific,
arxiv_sh_005,How do the Br atoms in (CuBr)LaNb2O7 need to be positioned to support the observed magnetic order?,The Br atoms must move significantly off the center of the square of the Cu sublattice so that the Br nuclei couple predominantly to two parallel Cu moments.,"The Br atoms in (CuBr)LaNb2O7 must move significantly off the center of the square of the Cu sublattice. This positioning allows the Br nuclei to couple predominantly to two parallel Cu moments, which is necessary for compatibility with the observed collinear antiferromagnetic order.","['Antiferromagnetic Nuclear Resonance in the Quasi-Two-Dimensional (CuBr)LaNb2O7 We report nuclear magnetic resonance (NMR) studies in the antiferromagnetic state of the quasi-two-dimensional (CuBr)LaNb2O7. The NMR spectra at zero magnetic field and 4.2 K indicate a unique Cu and Br sites with an internal field of 5.7 T (at Cu) and 16.4 T (at Br), confirming a magnetic order. For the large internal field at the Br sites to be compatible with the collinear antiferromagnetic order observed by neutron diffraction experiments (N. Oba et al., J. Phys. Soc. Jpn. 75, (2006) 113601), the Br atoms must move significantly off the center of the square of the Cu sublattice so that the Br nuclei couple predominantly to two parallel Cu moments. While invalidating the frustrated J1-J2 model defined on a C4-symmetric square lattice, our results are compatible with the structural model proposed for (CuCl)LaNb2O7 by Yoshida et al. (J. Phys. Soc. Jpn. 76 (2007) 104703).', 'Quasi one-dimensional magnetism driven by unusual orbital ordering in CuSb2O6 Essentially all undoped cuprates exhibit a quasi-planar, fourfold Cu-O coordination responsible for the magnetically active antibonding 3d-(x^2-y^2)-like state. Here, we present an electronic structure study for CuSb2O6 that reveals, in contrast, a half-filled 3d-(3z^2-r^2) orbital. This hitherto unobserved ground state originates from a competition of in- and out-of-plaquette orbitals where the strong Coulomb repulsion drives the surprising and unique orbital ordering. This, in turn, gives rise to an unexpected quasi one-dimensional magnetic behavior. Our results provide a consistent explanation of recent thermodynamical and neutron diffraction measurements.', 'Incommensurate spin density modulation in a copper-oxide chain compound with commensurate charge order Neutron diffraction has been used to determine the magnetic structure of Na$_8$Cu$_5$O$_{10}$, a stoichiometric compound containing chains based on edge-sharing CuO$_4$ plaquettes. The chains are doped with 2/5 hole per Cu site and exhibit long-range commensurate charge order with an onset well above room temperature. Below $T_N = 23$ K, the neutron data indicate long-range collinear magnetic order with a spin density modulation whose propagation vector is commensurate along and incommensurate perpendicular to the chains. Competing interchain exchange interactions are discussed as a possible origin of the incommensurate magnetic order.']",descriptive,1.0,0.8356650779526121,1.0,single_specific,
arxiv_sh_006,"What is the upper limit determined for the decay K_{L} to pi^{0} pi^{0} gamma, and how does it compare to previous results?","The upper limit determined for the decay K_{L} to pi^{0} pi^{0} gamma is 2.43 times 10 to the power of negative 7 at 90% confidence level, which is approximately a factor of 20 lower than previous results.",The upper limit determined for the decay \( K_{L} \to \pi^{0} \pi^{0} \gamma \) is \( 2.43 \times 10^{-7} \) at 90% confidence level. This value is approximately a factor of 20 lower than previous results.,"['Search for the Rare Decay K_{L}\\to\\pi^{0}\\pi^{0}\\gamma The KTeV E799 experiment has conducted a search for the rare decay $K_{L}\\to\\pi^{0}\\pi^{0}\\gamma$ via the topology $K_{L}\\to\\pi^{0}\\pi^{0}_D\\gamma$ (where $\\pi^0_D\\to\\gamma e^+e^-$). Due to Bose statistics of the $\\pi^0$ pair and the real nature of the photon, the $K_{L}\\to\\pi^{0}\\pi^{0}\\gamma$ decay is restricted to proceed at lowest order by the CP conserving direct emission (DE) of an E2 electric quadrupole photon. The rate of this decay is interesting theoretically since chiral perturbation theory predicts that this process vanishes at level $O(p^4)$. Therefore, this mode probes chiral perturbation theory at $O(p^6)$. In this paper we report a determination of an upper limit of $2.43\\times 10^{-7}$ (90% CL) for $K_{L}\\to\\pi^{0}\\pi^{0}\\gamma$. This is approximately a factor of 20 lower than previous results.', 'First Observation and Measurement of the Decay K+- -> pi+- e+ e- gamma Using the full data set of the NA48/2 experiment, the decay K+- -> pi+- e+ e- gamma is observed for the first time, selecting 120 candidates with 7.3 +- 1.7 estimated background events. With K+- -> pi+- pi0D as normalisation channel, the branching ratio is determined in a model-independent way to be Br(K+- -> pi+- e+ e- gamma, m_eegamma > 260 MeV/c^2) = (1.19 +- 0.12_stat +- 0.04_syst) x 10^-8. This measured value and the spectrum of the e+ e- gamma invariant mass allow a comparison with predictions of Chiral Perturbation Theory.', 'Recent results on rare decay pi0 to e+e- Experimental and theoretical progress concerning the rare decay pi0 to e+e- is briefly reviewed. It includes the latest data from KTeV and a new model independent estimate of the decay branching which show the deviation between experiment and theory at the level of 3.3\\sigma.']",descriptive,1.0,0.8716222495382334,1.0,single_specific,
arxiv_sh_007,What specific atomic fluorescence lines were detected for the first time in a neutral medium during the observations of the reflection nebula NGC2023?,"The specific atomic fluorescence lines detected for the first time in a neutral medium were OI, NI, SiII, and FeII.","The specific atomic fluorescence lines detected for the first time in a neutral medium during the observations of the reflection nebula NGC2023 include OI, NI, SiII, and FeII.","['Atomic Fluorescence and Prospects for Observing Magnetic Geometry Using Atomic Magnetic Realignment Yan and Lazarian have proposed a new technique through which the magnetic field geometry in the diffuse interstellar medium, or in circumstellar matter, could be determined from the linear polarization of interstellar absorption or fluorescence emission lines from ions pumped by an anisotropic illuminating flux. New long-slit spectroscopic observations of the reflection nebula NGC2023, obtained with the Southern African Large Telescope Robert Stobie Spectrograph (RSS), have detected a number of atomic fluorescence lines of OI, NI, SiII, and FeII for the first time in a neutral medium. A model which predicts these lines and others illustrates which lines would be appropriate targets for an RSS spectropolarimetric investigation of this new diagnostic.', 'The Spitzer Infrared Nearby Galaxies Survey: A High-Resolution Spectroscopy Anthology High resolution mid-infrared spectra are presented for 155 nuclear and extranuclear regions from the Spitzer Infrared Nearby Galaxies Survey (SINGS). The fluxes for nine atomic forbidden and three molecular hydrogen mid-infrared emission lines are also provided, along with upper limits in key lines for infrared-faint targets. The SINGS sample shows a wide range in the ratio of [SIII]18.71um/[SIII]33.48um, but the average ratio of the ensemble indicates a typical interstellar electron density of 300-400 cm^{-3} on ~23""x15"" scales and 500-600 cm^{-3} using ~11""x9"" apertures, independent of whether the region probed is a star-forming nuclear, a star-forming extranuclear, or an AGN environment. Evidence is provided that variations in gas-phase metallicity play an important role in driving variations in radiation field hardness, as indicated by [NeIII]15.56um/[NeII]12.81um, for regions powered by star formation. Conversely, the radiation hardness for galaxy nuclei powered by accretion around a massive black hole is independent of metal abundance. Furthermore, for metal-rich environments AGN are distinguishable from star-forming regions by significantly larger [NeIII]15.56um/[NeII]12.81um ratios. Finally, [FeII]25.99um/[NeII]12.81um versus [SiII]34.82um/[SIII]33.48um also provides an empirical method for discerning AGN from normal star-forming sources. However, similar to [NeIII]15.56um/[NeII]12.81um, these mid-infrared line ratios lose their AGN/star-formation diagnostic powers for very low metallicity star-forming systems with hard radiation fields.', 'Detection of the H92alpha recombination line from the starbursts in the Circinus galaxy and NGC 1808 Context. Gas ionized by starburst activity radiates radio recombination lines (RRLs), from which one can derive the plasma conditions and the number of massive stars formed in the burst, free of dust obscuration effects. Aims. We aimed to find RRL emission from additional starburst systems and to use the line properties to estimate the properties of the ionized gas. Methods. We conducted a search for RRLs in the nearby extragalactic starburst or Seyfert galaxies NGC 1808, the Circinus galaxy, NGC 4038/9, II Zw 40, NGC 6221, NGC 7552, IRAS 18325-5926, IC 5063, and VV 114. We used the VLA and the ATCA to search for the RRLs H91alpha and H92alpha with rest frequencies of 8.6 GHz and 8.3 GHz. Results. We detected for the first time RRLs from the starburst nuclei in the Circinus galaxy and NGC 1808. The Circinus galaxy was detected with a line strength integrated over the source of 3.2 mJy, making it the fourth-strongest extragalactic RRL emitter known at this frequency (after NGC 4945, M 82, and NGC 253). The line and continuum emission can be matched by a model consisting of a collection of 50 to 10 000 H II regions with 300 to 9000 O5 stars required to maintain the ionization, inferring a star formation rate of 0.2 Msun/yr to 6 Msun/yr. NGC 1808 was detected in RRL emission at 3.9 sigma with a line strength of 0.47 mJy at the expected velocity. Conclusion. We have detected RRLs from two galaxies, adding to the small but growing number of known extragalactic RRL emitters. The Circinus galaxy is strong and especially suited to high-quality follow-up spectroscopic study. We derived conditions and star formation rates in the starbursting regions. Uncertainties can be reduced by future multi-transition studies.']",descriptive,1.0,0.9906250131870596,1.0,single_specific,
arxiv_sh_008,What were the three typical relaxation phenomena detected in the study of polycrystalline electroceramic device materials?,The three typical relaxation phenomena detected showed a separated temperature dependence of resistivity consistent with thermally activated charge transport.,"The three typical relaxation phenomena detected in the study of polycrystalline electroceramic device materials were characterized by their distinct temperature dependence of resistivity, which is consistent with thermally activated charge transport. These phenomena included contributions from the dominating grain boundary and the interface, each exhibiting different capacitance, allowing for clear identification.","['Studies of the temperature and frequency dependent impedance of an electroceramic functional oxide thermistor The charge transport mechanism and the macroscopic dielectric constant in polycrystalline device materials commonly exhibit several components such as electrode-sample interface, grain boundary and bulk contributions. In order to gain precise understanding of the functionality of polycrystalline electroceramic device materials it is essential to deconvolute these contributions. The paradigm of functional thermistor ceramics based on thick film spinel manganates has been studied by temperature dependent alternating current impedance spectroscopy. Three typical relaxation phenomena were detected, which all showed a separated temperature dependence of resistivity consistent with thermally activated charge transport. The dominating grain boundary and the interface contributions exhibited distinctively different capacitance allowing clear identification. The composite nature of the dielectric properties in polycrystalline functional ceramics was emphasized, and impedance spectroscopy was shown to be a powerful tool to account for and model such behaviour.', 'Simulations on the electromechanical poling of ferroelectric ceramics Based on the two-step-switching model, the process of electromechanical poling of a ferroelectric ceramics is simulated. A difference of the remnant polarizations between two poling protocols (mechanical stress is applied before and after the application of poling field) is found from our simulations, which is also observed in experiment. An explanation is given to illustrate why the remnant polarization for the case that mechanical stress is loaded after the application of electric field is larger than the case that mechanical stress is loaded before the application of electric field. Our simulation results supply a proof for the validity of the two-step-switching model in the electromechanical poling of polycrystalline ferroelectric ceramics.', 'Statistical switching kinetics in ferroelectrics By assuming a more realistic nucleation and polarization reversal scenario we build a new statistical switching model for ferroelectrics, which is different from either the Kolmogorov-Avrami-Ishibashi (KAI) model or the Nucleation-Limited-Switching (NLS) model. After incorporating a time-dependent depolarization field this model gives a good description about the retardation behavior in polycrystalline thin films at medium or low fields, which can not be described by the traditional KAI model. This model predicts correctly n=1 for polycrystalline thin films at high Eappl or ceramic bulks in the ideal case.']",descriptive,1.0,0.955250558728214,1.0,single_specific,
arxiv_sh_009,What are the three significant predictions that emerge from the study of photon number amplification and discrimination?,"The three significant predictions are the threshold time for initial exposure to photons, the time of perception which is the time of maximum detection probability, and the discrimination of the first few photon states.","The three significant predictions that emerge from the study of photon number amplification and discrimination are: the threshold time for initial exposure to photons, the time of perception (which is the time of maximum detection probability), and the discrimination of the first few photon states.","['A scheme for amplification and discrimination of photons A scheme for exploring photon number amplification and discrimination is presented based on the interaction of a large number of two-level atoms with a single mode radiation field. The fact that the total number of photons and atoms in the excited states is a constant under time evolution in Dicke model is exploited to rearrange the atom-photon numbers. Three significant predictions emerge from our study: Threshold time for initial exposure to photons, time of perception (time of maximum detection probability), and discrimination of first few photon states.', 'Cavity photon counting: ab-initio derivation of the quantum jump superoperators and comparison of the existing models Time development of electromagnetic fields in closed cavities under continuous detection of photons continues to be a subject of confusing controversy. Recently Dodonov et al. [Phys. Rev. A, 75, 013806, 2007] argued that their model of quantum superoperators (E model) invalidates some of the predictions of the previously introduced photon counting model of Srinivas and Davies [J. Mod. Optic. 28, 981, 1981] (SD model). Both the SD and the E models are based on two postulated quantum jump superoperators: (1) the one-count operator corresponding to the absorption of a single photon and (2) the no-count operator. In this work we develop a stochastic difference equation that describes the dissipative coupling of the cavity field and the detector. The difference equation is based on non-perturbative treatment of the cavity-detector coupling. In spite of being non-integrable due to the coupling of the detector with an external reservoir it can be used to derive the exact forms of the quantum jump superoperators. When applied to a particular photon counting measurement our theory gives predictions identical with those of the SD model which should be considered a non-perturbative and ab-initio result. It is pointed out that available experimental results coincide with the results given by the ab-initio SD model. We summarize some of the key characteristics of cavity fields and photon counting processes to demonstrate that the results given by the SD model are consistent with the principles of quantum mechanics while those given by the E model are not.', ""Theory of Two-Photon Interactions with Broadband Down-Converted Light and Entangled Photons When two-photon interactions are induced by down-converted light with a bandwidth that exceeds the pump bandwidth, they can obtain a behavior that is pulse-like temporally, yet spectrally narrow. At low photon fluxes this behavior reflects the time and energy entanglement between the down-converted photons. However, two-photon interactions such as two-photon absorption (TPA) and sum-frequency generation (SFG) can exhibit such a behavior even at high power levels, as long as the final state (i.e. the atomic level in TPA, or the generated light in SFG) is narrowband enough. This behavior does not depend on the squeezing properties of the light, is insensitive to linear losses, and has potential applications. In this paper we describe analytically this behavior for travelling-wave down-conversion with continuous or pulsed pumping, both for high- and low-power regimes. For this we derive a quantum-mechanical expression for the down-converted amplitude generated by an arbitrary pump, and formulate operators that represent various two-photon interactions induced by broadband light. This model is in excellent agreement with experimental results of TPA and SFG with high power down-converted light and with entangled photons [Dayan et al., Phys. Rev. Lett. 93, 023005 (2004), Dayan et al., Phys. Rev. Lett. 94, 043602, (2005), Pe'er et al., Phys. Rev. Lett. 94, 073601 (2005)].""]",descriptive,1.0,0.9448150844406066,1.0,single_specific,
