system_name,node_idx,edge_idx,text_idx,system_type,question_id,question_subtype,faithfulness,answer_relevance,context_relevance,composite_score
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_sh_026,single_specific,0.5,0.9102588958736711,1.0,0.8034196319578903
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_sh_013,single_specific,1.0,1.0,0.0,0.6666666666666666
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_sh_024,single_specific,1.0,0.9627833400778432,1.0,0.9875944466926144
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_sh_021,single_specific,1.0,0.42232233611409886,1.0,0.8074407787046995
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_sh_015,single_specific,1.0,0.9576127208322683,1.0,0.9858709069440894
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_sh_029,single_specific,1.0,0.9684983983142778,1.0,0.9894994661047593
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_sh_019,single_specific,0.3333333333333333,0.9999996057561621,1.0,0.7777776463631652
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_agg_031,aggregate_cross_paper,1.0,0.682931484661295,0.5,0.7276438282204317
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_agg_015,aggregate_cross_paper,0.5,0.0,0.0,0.16666666666666666
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_agg_026,aggregate_cross_paper,1.0,0.0,0.0,0.3333333333333333
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_agg_017,aggregate_cross_paper,0.8333333333333334,0.5269566190982405,0.5,0.6200966508105247
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_agg_008,aggregate_cross_paper,0.8333333333333334,0.7705508417846209,1.0,0.8679613917059847
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_agg_009,aggregate_cross_paper,1.0,0.938597588150436,0.0,0.6461991960501453
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_agg_019,aggregate_cross_paper,0.875,0.6493337714089351,0.0,0.5081112571363117
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_edge_015,edge_multihop,0.4,0.9088888656947288,0.0,0.4362962885649096
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_edge_019,edge_multihop,0.8333333333333334,0.7735433812709899,0.5,0.702292238201441
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_edge_027,edge_multihop,0.3333333333333333,0.7612385380933185,0.0,0.36485729047555066
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_edge_026,edge_multihop,0.75,0.7475076135749316,1.0,0.8325025378583105
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_edge_008,edge_multihop,1.0,0.0,0.0,0.3333333333333333
N7_E11b_T12a_k5_text_based,N7,E11b_k5,T12a,text_based,arxiv_edge_024,edge_multihop,0.6666666666666666,0.0,0.0,0.2222222222222222
