variant,node_type,question_id,question_subtype,scale,faithfulness,answer_relevance,context_relevance,composite
N7_E10b_T12a,N7,amazon_sh_000,single_specific,B,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_001,single_specific,B,0.75,0.8280802237139411,0.5,0.6926934079046471
N7_E10b_T12a,N7,amazon_sh_002,single_specific,B,1.0,0.9749912630389138,0.0,0.6583304210129713
N7_E10b_T12a,N7,amazon_sh_003,single_specific,B,0.3333333333333333,0.7569862943069525,1.0,0.6967732092134286
N7_E10b_T12a,N7,amazon_sh_004,single_specific,B,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_005,single_specific,B,0.4,0.8222332669666358,0.0,0.4074110889888786
N7_E10b_T12a,N7,amazon_sh_006,single_specific,B,1.0,0.9022624173789803,1.0,0.9674208057929934
N7_E10b_T12a,N7,amazon_sh_007,single_specific,B,1.0,0.7487375261845396,0.0,0.5829125087281799
N7_E10b_T12a,N7,amazon_sh_008,single_specific,B,1.0,0.8951734238241057,1.0,0.9650578079413686
N7_E10b_T12a,N7,amazon_sh_009,single_specific,B,0.0,0.7887318459420469,1.0,0.596243948647349
N7_E10b_T12a,N7,amazon_sh_010,single_specific,B,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_011,single_specific,B,1.0,0.6670089850339492,0.0,0.555669661677983
N7_E10b_T12a,N7,amazon_sh_012,single_specific,B,0.5,0.0,0.0,0.16666666666666666
N7_E10b_T12a,N7,amazon_sh_013,single_specific,B,0.6666666666666666,0.5054743718316511,0.0,0.39071367949943925
N7_E10b_T12a,N7,amazon_sh_014,single_specific,B,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_015,single_specific,B,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_016,single_specific,B,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_017,single_specific,B,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_018,single_specific,B,1.0,0.8175692217657984,0.0,0.6058564072552661
N7_E10b_T12a,N7,amazon_sh_019,single_specific,B,0.8333333333333334,0.7306346923105441,0.0,0.5213226752146258
N7_E10b_T12a,N7,amazon_sh_020,single_specific,B,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_021,single_specific,B,1.0,0.0,0.0,0.3333333333333333
N7_E10b_T12a,N7,amazon_sh_022,single_specific,B,0.75,0.9999997105356649,0.0,0.5833332368452216
N7_E10b_T12a,N7,amazon_sh_023,single_specific,B,1.0,0.0,0.0,0.3333333333333333
