dataset,node_idx,edge_idx,text_idx,scale,num_nodes,num_edges,path
arxiv,N7,E10b,T12a,B,1000,49,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N7_E10b_T12a.pt
arxiv,N7,E10b,T12b,B,1000,49,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N7_E10b_T12b.pt
arxiv,N7,E10c,T12a,B,1000,49,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N7_E10c_T12a.pt
arxiv,N7,E10c,T12b,B,1000,49,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N7_E10c_T12b.pt
arxiv,N7,E11a,T12a,B,1000,9,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N7_E11a_T12a.pt
arxiv,N7,E11a,T12b,B,1000,6,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N7_E11a_T12b.pt
arxiv,N7,E11b,T12a,B,1000,4955,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N7_E11b_T12a.pt
arxiv,N7,E11b,T12b,B,1000,4955,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N7_E11b_T12b.pt
arxiv,N8,E10b,T12a,B,2919,6299,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E10b_T12a.pt
arxiv,N8,E10b,T12b,B,2919,6299,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E10b_T12b.pt
arxiv,N8,E10b,T12e,B,2919,6299,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E10b_T12e.pt
arxiv,N8,E10c,T12a,B,2919,6299,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E10c_T12a.pt
arxiv,N8,E10c,T12b,B,2919,6299,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E10c_T12b.pt
arxiv,N8,E10c,T12e,B,2919,6299,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E10c_T12e.pt
arxiv,N8,E11a,T12a,B,2919,6462,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E11a_T12a.pt
arxiv,N8,E11a,T12b,B,2919,6462,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E11a_T12b.pt
arxiv,N8,E11b,T12a,B,2919,14356,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E11b_T12a.pt
arxiv,N8,E11b,T12b,B,2919,14356,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\all_variants_scaleB\N8_E11b_T12b.pt
amazon,N7,E10b,T12a,B,980,208,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N7_E10b_T12a.pt
amazon,N7,E10b,T12b,B,980,208,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N7_E10b_T12b.pt
amazon,N7,E10c,T12a,B,980,208,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N7_E10c_T12a.pt
amazon,N7,E10c,T12b,B,980,208,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N7_E10c_T12b.pt
amazon,N7,E11a,T12a,B,980,77,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N7_E11a_T12a.pt
amazon,N7,E11a,T12b,B,980,155,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N7_E11a_T12b.pt
amazon,N7,E11b,T12a,B,980,4811,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N7_E11b_T12a.pt
amazon,N7,E11b,T12b,B,980,4811,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N7_E11b_T12b.pt
amazon,N8,E10a,T12a,B,881,31,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E10a_T12a.pt
amazon,N8,E10a,T12b,B,881,31,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E10a_T12b.pt
amazon,N8,E10b,T12a,B,881,22,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E10b_T12a.pt
amazon,N8,E10b,T12b,B,881,22,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E10b_T12b.pt
amazon,N8,E10c,T12a,B,881,22,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E10c_T12a.pt
amazon,N8,E10c,T12b,B,881,22,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E10c_T12b.pt
amazon,N8,E11a,T12a,B,881,10011,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E11a_T12a.pt
amazon,N8,E11a,T12b,B,881,10011,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E11a_T12b.pt
amazon,N8,E11b,T12a,B,881,4360,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E11b_T12a.pt
amazon,N8,E11b,T12b,B,881,4360,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N8_E11b_T12b.pt
amazon,N9,E10b,T12a,B,971,208,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N9_E10b_T12a.pt
amazon,N9,E10b,T12b,B,971,208,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N9_E10b_T12b.pt
amazon,N9,E10c,T12a,B,971,208,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N9_E10c_T12a.pt
amazon,N9,E10c,T12b,B,971,208,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N9_E10c_T12b.pt
amazon,N9,E11a,T12a,B,971,139,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N9_E11a_T12a.pt
amazon,N9,E11a,T12b,B,971,139,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N9_E11a_T12b.pt
amazon,N9,E11b,T12a,B,971,4765,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N9_E11b_T12a.pt
amazon,N9,E11b,T12b,B,971,4765,C:\Documents\GitHub\Text_Attributed_Graphs\data\graphrag\graphs\amazon_scaleB\N9_E11b_T12b.pt
