dataset,subtype,metric,node_type,rho,p,n
arxiv,single_specific,faithfulness,all,0.25901405099031444,0.33270385486152376,16
arxiv,single_specific,faithfulness,N7,-0.1197626261913259,0.7775830437712571,8
arxiv,single_specific,faithfulness,N8,0.04761904761904763,0.9108491685195836,8
arxiv,single_specific,answer_relevance,all,0.3411764705882353,0.1959326248678891,16
arxiv,single_specific,answer_relevance,N7,-0.09523809523809526,0.8225054302036114,8
arxiv,single_specific,answer_relevance,N8,-0.1666666666666667,0.693238811728395,8
arxiv,single_specific,context_relevance,all,0.38447168475515325,0.14146585934019668,16
arxiv,single_specific,context_relevance,N7,0.8101914936669333,0.014754409343433143,8
arxiv,single_specific,context_relevance,N8,0.9931270663228413,8.074676154349284e-07,8
arxiv,single_specific,composite,all,0.03529411764705882,0.8967532476935333,16
arxiv,single_specific,composite,N7,0.523809523809524,0.18272075053971482,8
arxiv,single_specific,composite,N8,0.7857142857142858,0.020815127253525276,8
arxiv,aggregate_cross_paper,faithfulness,all,0.2441176470588235,0.3622134961419501,16
arxiv,aggregate_cross_paper,faithfulness,N7,0.2142857142857143,0.6103444156452669,8
arxiv,aggregate_cross_paper,faithfulness,N8,0.7142857142857144,0.04652823228416724,8
arxiv,aggregate_cross_paper,answer_relevance,all,0.31176470588235294,0.23980004767411284,16
arxiv,aggregate_cross_paper,answer_relevance,N7,0.3571428571428572,0.3851206435562562,8
arxiv,aggregate_cross_paper,answer_relevance,N8,-0.6190476190476191,0.1017330374542646,8
arxiv,aggregate_cross_paper,context_relevance,all,0.8131702511094092,0.00012796607541139891,16
arxiv,aggregate_cross_paper,context_relevance,N7,0.9434148851749269,0.00043394122476300305,8
arxiv,aggregate_cross_paper,context_relevance,N8,0.8500664140329959,0.007507172409280696,8
arxiv,aggregate_cross_paper,composite,all,0.5735294117647058,0.020191038046523092,16
arxiv,aggregate_cross_paper,composite,N7,0.523809523809524,0.18272075053971482,8
arxiv,aggregate_cross_paper,composite,N8,0.7142857142857144,0.04652823228416724,8
arxiv,edge_multihop,faithfulness,all,0.2911764705882353,0.27388704841914874,16
arxiv,edge_multihop,faithfulness,N7,0.2142857142857143,0.6103444156452669,8
arxiv,edge_multihop,faithfulness,N8,0.4761904761904762,0.23293553465009798,8
arxiv,edge_multihop,answer_relevance,all,0.1764705882352941,0.5132505967364669,16
arxiv,edge_multihop,answer_relevance,N7,0.6904761904761906,0.057990318164572716,8
arxiv,edge_multihop,answer_relevance,N8,0.28571428571428575,0.4927262450169573,8
arxiv,edge_multihop,context_relevance,all,-0.3575668536434232,0.173920712900033,16
arxiv,edge_multihop,context_relevance,N7,-0.45345616101210856,0.2591310283609635,8
arxiv,edge_multihop,context_relevance,N8,-0.25197631533948484,0.5471616124270275,8
arxiv,edge_multihop,composite,all,0.08823529411764705,0.7452220943671326,16
arxiv,edge_multihop,composite,N7,0.4523809523809524,0.260404767436885,8
arxiv,edge_multihop,composite,N8,-0.30952380952380953,0.4556448907375822,8
arxiv,all_combined,faithfulness,all,-0.011764705882352941,0.9655081698956276,16
arxiv,all_combined,faithfulness,N7,-0.6666666666666669,0.07098765432098751,8
arxiv,all_combined,faithfulness,N8,0.6190476190476191,0.1017330374542646,8
arxiv,all_combined,answer_relevance,all,0.5941176470588235,0.015232400876327998,16
arxiv,all_combined,answer_relevance,N7,0.6190476190476191,0.1017330374542646,8
arxiv,all_combined,answer_relevance,N8,-0.2142857142857143,0.6103444156452669,8
arxiv,all_combined,context_relevance,all,0.7147110415886774,0.001862533744315202,16
arxiv,all_combined,context_relevance,N7,0.7195121951219514,0.044213037223132634,8
arxiv,all_combined,context_relevance,N8,0.8675328468813838,0.0052491364391084715,8
arxiv,all_combined,composite,all,0.33529411764705885,0.20425458084551512,16
arxiv,all_combined,composite,N7,0.1666666666666667,0.693238811728395,8
arxiv,all_combined,composite,N8,0.5476190476190477,0.1600256425388966,8
